메뉴명,종류,컨디션,이모지,칼로리(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
김치찌개,한식,술 한잔|추운 날,🍲,456,25,28,26,1962
된장찌개,한식,가성비|추운 날,🥘,311,32,18,13,1850
비빔밥,한식,가성비|다이어트 중,🍚,560,95,19,12,1120
불고기,한식,특별한 날|피곤할 때,🥩,395,15,34,22,980
삼겹살,한식,술 한잔|특별한 날,🥓,650,2,35,55,320
삼계탕,한식,몸이 아플 때|더운 날,🍗,918,42,88,44,1420
육개장,한식,숙취 해소|추운 날,🌶️,440,28,31,24,2450
미역국,한식,몸이 아플 때|특별한 날,🥣,258,15,18,14,1200
제육볶음,한식,스트레스 받을 때|가성비,🍖,528,22,38,32,1250
떡국,한식,추운 날|특별한 날,🍚,460,88,18,4,1350
냉면,한식,더운 날|숙취 해소,🍜,520,105,16,4,1550
콩국수,한식,더운 날|피곤할 때,🥛,548,82,28,12,850
북어국,한식,숙취 해소|몸이 아플 때,🐟,280,15,28,12,1450
죽,한식,몸이 아플 때|피곤할 때,🥣,322,68,8,2,850
전복죽,한식,몸이 아플 때|특별한 날,🐚,368,68,15,4,850
계란찜,한식,가성비|몸이 아플 때,🥚,149,4,13,9,535
육회비빔밥,한식,특별한 날|가성비,🍚,576,85,32,12,950
순대국,한식,숙취 해소|추운 날,🍲,470,42,35,18,1200
뼈해장국,한식,술 한잔|추운 날,🍖,524,32,45,24,2200
닭갈비,한식,스트레스 받을 때|특별한 날,🍗,636,45,42,32,1450
안동찜닭,한식,특별한 날|가성비,🍗,552,55,38,20,1350
수육,한식,술 한잔|피곤할 때,🥩,494,5,42,34,650
콩나물국밥,한식,숙취 해소|가성비,🍲,356,65,15,4,1100
칼국수,한식,추운 날|가성비,🍜,435,88,14,3,1850
바지락칼국수,한식,추운 날|숙취 해소,🦪,460,88,18,4,1950
수제비,한식,추운 날|가성비,🍜,386,82,10,2,1600
감자탕,한식,술 한잔|추운 날,🥘,663,35,52,35,2600
아구찜,한식,술 한잔|특별한 날,🐟,404,35,48,8,1950
닭발,한식,스트레스 받을 때|술 한잔,🌶️,262,12,22,14,850
곱창,한식,술 한잔|스트레스 받을 때,🍢,584,6,32,48,750
막창,한식,술 한잔|가성비,🍢,524,4,28,44,680
대창,한식,술 한잔|특별한 날,🍢,641,2,12,65,580
보쌈,한식,술 한잔|피곤할 때,🥬,820,8,62,60,750
갈비탕,한식,술 한잔|추운 날|숙취 해소,🍲,458,25,40,22,1500
설렁탕,한식,숙취 해소|추운 날,🍲,412,35,32,16,1400
추어탕,한식,몸이 아플 때|추운 날,🥣,352,22,30,16,1600
갈비찜,한식,특별한 날|가성비,🍖,558,30,42,30,1450
소고기무국,한식,몸이 아플 때|가성비,🥣,226,12,22,10,1100
김치볶음밥,한식,가성비|스트레스 받을 때,🍚,578,88,16,18,1400
순두부찌개,한식,추운 날|숙취 해소,🍲,330,18,24,18,1750
부대찌개,한식,술 한잔|스트레스 받을 때,🍲,596,45,32,32,2400
청국장,한식,몸이 아플 때|가성비,🥘,304,25,24,12,1650
낙지볶음,한식,스트레스 받을 때|술 한잔,🌶️,396,35,28,16,1750
쭈꾸미볶음,한식,스트레스 받을 때|술 한잔,🌶️,383,32,30,15,1700
